ML Model Name,Accuracy,AUC,Precision,Recall,F1,MCC
Logistic Regression,0.9824561403508771,0.9953703703703703,0.9861111111111112,0.9861111111111112,0.9861111111111112,0.9623015873015873
Decision Tree,0.9210526315789473,0.9163359788359788,0.9565217391304348,0.9166666666666666,0.9361702127659575,0.8341403959394523
KNN,0.9736842105263158,0.9884259259259259,0.96,1.0,0.9795918367346939,0.9441549509633318
Naive Bayes,0.9298245614035088,0.9867724867724867,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.8492063492063492
Random Forest,0.9473684210526315,0.9940476190476191,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.8869047619047619
XGBoost,0.956140350877193,0.9953703703703703,0.9466666666666667,0.9861111111111112,0.9659863945578231,0.9058238738943076
